id	name	sido	gu	addr	x	y	class_2008	class_2009	class_2010	class_2011	class_2012	class_2013	class_2014	class_2015	class_2016	class_2017	class_2018	class_2019	class_2020	class_2021	class_2022	class_2023	student_2008	student_2009	student_2010	student_2011	student_2012	student_2013	student_2014	student_2015	student_2016	student_2017	student_2018	student_2019	student_2020	student_2021	student_2022	student_2023
S150003649	포항대흥초등학교	경북	포항시	경상북도 포항시 북구 용흥로 292번길 33	129.352325	36.0458791	40	42	40	39	37	37	37	35	36	35	34	32	30	29	29	27	1348	1286	1235	1161	1092	1039	989	954	965	911	881	833	777	756	691	655
S150003650	포항동부초등학교	경북	포항시	경상북도 포항시 북구 삼호로 273	129.3804764	36.0631167	26	24	23	21	18	16	13	13	13	13	13	13	14	14	14	14	832	714	671	582	465	361	299	304	270	274	287	270	257	255	236	232
S150006393	포항송곡초등학교	경북	포항시	경상북도 포항시 북구 장량중앙로 27	129.3844389	36.092452	0	0	0	0	7	14	19	28	38	42	42	42	42	45	47	47	0	0	0	0	200	334	550	789	1051	1240	1160	1222	1227	1251	1239	1244
S150003651	포항송도초등학교	경북	포항시	경상북도 포항시 남구 송도로 80	129.3802359	36.0331488	13	12	11	9	8	8	7	7	7	7	7	6	6	6	6	6	326	257	214	171	167	163	141	140	114	122	125	112	105	98	98	102
S150006318	포항양덕초등학교	경북	포항시	경상북도 포항시 북구 양덕로 20-5	129.4032073	36.0797911	0	0	23	36	43	44	46	46	46	46	46	46	45	43	44	41	0	0	720	1123	1513	1580	1733	1459	1494	1545	1449	1428	1276	1207	1184	1100
S150003652	포항영흥초등학교	경북	포항시	경상북도 포항시 북구 중앙로 212	129.367658	36.031522	15	14	13	10	10	9	8	8	9	8	9	9	9	8	8	8	412	359	309	251	224	190	156	164	164	157	173	166	182	155	146	134
S150006312	포항원동초등학교	경북	포항시	경상북도 포항시 남구 오천읍 냉천로340번길 64	129.4013293	35.9656716	0	17	28	39	40	40	41	52	52	52	56	60	62	56	57	54	0	530	801	1145	1331	1420	1418	1487	1535	1615	1682	1616	1486	1367	1358	1277
S150006231	포항장원초등학교	경북	포항시	경상북도 포항시 북구 법원로63번길 10	129.3848341	36.0817673	19	19	19	21	18	19	19	20	20	20	19	19	21	24	27	30	563	573	506	584	471	450	448	456	437	438	439	425	540	607	663	685
S150006232	포항장흥초등학교	경북	포항시	경상북도 포항시 북구 양덕남로 11	129.3928709	36.0788595	25	25	22	21	20	19	19	25	25	24	16	14	13	14	13	12	848	883	684	633	576	550	513	678	643	606	427	389	352	319	288	264
NONE	포항제철동초등학교	경북	포항시	경상북도 포항시 남구 지곡로 60	129.3278289	36.0128005	25	22	18	17	16	14	16	18	19	34	0	0	0	0	0	0	876	705	549	488	411	388	424	479	503	878	0	0	0	0	0	0
NONE	포항제철서초등학교	경북	포항시	경상북도 포항시 남구 지곡로 25	129.3273905	36.0092673	24	22	18	17	15	13	16	18	19	0	0	0	0	0	0	0	794	697	557	497	419	355	410	450	494	0	0	0	0	0	0	0
