addr	serial	name	sido_	gu	sido
경기도 하남시 하남대로302번길 45	S090001305	산곡초등학교	경기도	하남시	경기
경기도 화성시 서신면 매화3길 17	S090004313	서신초등학교	경기도	화성시	경기
경상북도 칠곡군 가산면 다부원1길 52	S150003451	다부초등학교	경상북도	칠곡군	경북
경기도 이천시 장호원읍 이풍로63번길 114	S090003758	나래초등학교	경기도	이천시	경기
경상북도 청도군 이서면 학산2길 56	S150003327	이서초등학교	경상북도	청도군	경북
경상남도 진주시 명석면 광제산로 23	S160002027	명석초등학교	경상남도	진주시	경남
경상북도 안동시 송천2길 119	S150002341	송천초등학교	경상북도	안동시	경북
경상북도 포항시 북구 용흥로 118	S150003613	용흥초등학교	경상북도	포항시	경북
충청북도 충주시 주덕읍 매남구술길 12	S110001017	덕신초등학교	충청북도	충주시	충북
경상북도 청도군 청도읍 중앙로 81	S150003332	청도중앙초등학교	경상북도	청도군	경북
전라남도 광양시 옥룡면 신재로 607	S140000580	옥룡초등학교	전라남도	광양시	전남
경상남도 고성군 대가면 대가로 443-18	S160001052	대흥초등학교	경상남도	고성군	경남
강원도 영월군 영월읍 중앙로 168-17	S100001203	봉래초등학교	강원도	영월군	강원
경기도 양주시 장흥면 일영로 641	S090001799	삼상초등학교	경기도	양주시	경기
강원도 고성군 거진읍 자산길 19	S100000721	거진초등학교	강원도	고성군	강원
강원도 고성군 토성면 아야진길 15	S100000740	아야진초등학교	강원도	고성군	강원
전라남도 함평군 월야면 금석길 95	S140002116	월야초등학교	전라남도	함평군	전남
전라남도 나주시 금천면 금영로 960	S140000693	금천초등학교	전라남도	나주시	전남
경상북도 경산시 자인면 금학로 7	S150001057	자인초등학교	경상북도	경산시	경북
부산광역시 기장군 정관읍 월평1길 21	S020001677	월평초등학교	부산광역시	기장군	부산
제주특별자치도 제주시 조천읍 일주동로 1481	S170000187	북촌초등학교	제주특별자치도	제주시	제주
경기도 시흥시 계수로 203	S090002719	계수초등학교	경기도	시흥시	경기
경기도 파주시 탄현면 방촌로 1009-20	S090003893	삼성초등학교	경기도	파주시	경기
제주특별자치도 서귀포시 말질로 188	S170000295	강정초등학교	제주특별자치도	서귀포시	제주
경기도 안산시 단원구 대부중앙로 56	S090002730	대부초등학교	경기도	안산시	경기
충청북도 청주시 서원구 남이면 대련길 61	S110000828	남이초등학교	충청북도	청주시	충북
전라북도 부안군 변산면 격포윗길 11	S130000934	격포초등학교	전라북도	부안군	전북
대전광역시 서구 갈마역로 139	S060000528	대전성천초등학교	대전광역시	서구	대전
경상북도 예천군 예천읍 남부초등길 17	S150002914	예천남부초등학교	경상북도	예천군	경북
경기도 여주시 산북면 금품1로 15	S090003346	상품초등학교	경기도	여주시	경기
전라북도 완주군 봉동읍 신덕성덕길 58-17	S130001072	봉성초등학교	전라북도	완주군	전북
경상남도 함안군 칠원읍 유원길 37-1	S160002793	유원초등학교	경상남도	함안군	경남
충청북도 음성군 맹동면 대동로 9	S110000633	맹동초등학교	충청북도	음성군	충북
전라북도 정읍시 대석1길 13-4	S130001608	내장초등학교	전라북도	정읍시	전북
전라남도 진도군 고군면 진도대로 288	S140002040	오산초등학교	전라남도	진도군	전남
경상남도 산청군 시천면 덕산대포로 15	S160001712	덕산초등학교	경상남도	산청군	경남
경상남도 고성군 거류면 거류로 693-14	S160001040	거류초등학교	경상남도	고성군	경남
인천광역시 강화군 화도면 마니산로 717	S040000378	화도초등학교	인천광역시	강화군	인천
충청남도 공주시 의당면 의당초교길 49	S120000345	의당초등학교	충청남도	공주시	충남
경상남도 창원시 의창구 대산면 진산대로 442-7	S160002385	대산초등학교	경상남도	창원시	경남
충청남도 당진시 합덕읍 면천로 1538	S120000927	합도초등학교	충청남도	당진시	충남
제주특별자치도 서귀포시 남원읍 태위로 915	S170000333	태흥초등학교	제주특별자치도	서귀포시	제주
경기도 양평군 서종면 무드리2길 20	S090003245	수입초등학교	경기도	양평군	경기
경상북도 울릉군 울릉읍 봉래길 128-3	S150003006	저동초등학교	경상북도	울릉군	경북
충청남도 아산시 음봉면 아산온천로 517	S120000637	음봉초등학교	충청남도	아산시	충남
충청남도 공주시 오거리길 5	S120000297	공주봉황초등학교	충청남도	공주시	충남
경상남도 창원시 의창구 대산면 우암로 35	S160002417	우암초등학교	경상남도	창원시	경남
강원도 춘천시 서면 금산2길 21	S100001829	금산초등학교	강원도	춘천시	강원
충청남도 홍성군 홍북면 이응노로 277	S120001235	용봉초등학교	충청남도	홍성군	충남
경상북도 영양군 영양읍 영양창수로 53	S150002606	영양중앙초등학교	경상북도	영양군	경북
충청남도 천안시 동남구 풍세면 용정길 8-7	S120000784	용정초등학교	충청남도	천안시	충남
전라남도 나주시 산포면 산포로 400	S140000726	산포초등학교	전라남도	나주시	전남
충청남도 논산시 벌곡면 수락로 23	S120000456	도산초등학교	충청남도	논산시	충남
강원도 양구군 국토정중앙면 춘양로 2726	S100001122	죽리초등학교	강원도	양구군	강원
경상북도 경주시 감포읍 감포로10길 21	S150001144	감포초등학교	경상북도	경주시	경북
경상북도 포항시 북구 삼호로468번길 5-12	S150003659	항구초등학교	경상북도	포항시	경북
경상북도 안동시 풍산읍 하리들길 32	S150002396	풍산초등학교	경상북도	안동시	경북
경기도 양평군 강하면 운심길 33	S090003217	강하초등학교	경기도	양평군	경기
충청북도 괴산군 사리면 사리로 246	S110000303	보광초등학교	충청북도	괴산군	충북
경기도 광주시 남한산성면 해공로 82	S090001301	번천초등학교	경기도	광주시	경기
경상북도 봉화군 춘양면 의양로 24-1	S150001982	춘양초등학교	경상북도	봉화군	경북
경기도 파주시 파평면 파평산로478번길 37	S090003923	파평초등학교	경기도	파주시	경기
제주특별자치도 제주시 한림읍 귀덕14길 14-5	S170000179	귀덕초등학교	제주특별자치도	제주시	제주
강원도 춘천시 신북읍 율문1길 16-9	S100001892	천전초등학교	강원도	춘천시	강원
충청남도 서산시 음암면 동암마을길 14-3	S120000956	동암초등학교	충청남도	서산시	충남
충청남도 서천군 마서면 원송로 229	S120001016	마동초등학교	충청남도	서천군	충남
전라남도 여수시 좌수영로 131	S140001445	여수진남초등학교	전라남도	여수시	전남
부산광역시 금정구 동현로 147	S020000824	서동초등학교	부산광역시	금정구	부산
전라남도 완도군 보길면 부황길 67	S140001852	보길초등학교	전라남도	완도군	전남
전라북도 무주군 안성면 칠연로 58	S130000904	안성초등학교	전라북도	무주군	전북
경기도 동두천시 탑신로 61	S090001817	탑동초등학교	경기도	동두천시	경기
전라북도 김제시 백산로 54	S130000716	백석초등학교	전라북도	김제시	전북
경기도 양평군 강상면 세월길147번길 2	S090003244	세월초등학교	경기도	양평군	경기
강원도 원주시 북원로 2868	S100001380	장양초등학교	강원도	원주시	강원
충청남도 보령시 주교면 한술1길 17	S120001071	관창초등학교	충청남도	보령시	충남
전라북도 전주시 덕진구 원동로 3	S130001460	전주원동초등학교	전라북도	전주시	전북
제주특별자치도 서귀포시 성산읍 풍천로 18	S170000337	풍천초등학교	제주특별자치도	서귀포시	제주
경기도 성남시 분당구 백현로144번길 26	S090002227	백현초등학교	경기도	성남시	경기
경상북도 경주시 강동면 강동로 80	S150001146	강동초등학교	경상북도	경주시	경북
경기도 여주시 대신면 참샘2길 1	S090003365	천남초등학교	경기도	여주시	경기
충청남도 논산시 채운면 채운로 112	S120000494	채운초등학교	충청남도	논산시	충남
충청남도 논산시 은진면 원앙로 1174	S120000472	성덕초등학교	충청남도	논산시	충남
제주특별자치도 제주시 조천읍 선흘동1길 41	S170000228	선흘초등학교	제주특별자치도	제주시	제주
전라남도 장흥군 장흥읍 칠거리예양로 40	S140001993	장흥서초등학교	전라남도	장흥군	전남
강원도 속초시 청호로 60	S100001041	청호초등학교	강원도	속초시	강원
경상남도 진주시 정촌면 정촌로 629	S160001967	관봉초등학교	경상남도	진주시	경남
전라북도 김제시 금산면 원평로 101	S130000730	원평초등학교	전라북도	김제시	전북
전라남도 순천시 해룡면 해룡로 1119	S140001157	해룡초등학교	전라남도	순천시	전남
전라북도 완주군 비봉면 비봉소농길 40	S130001073	비봉초등학교	전라북도	완주군	전북
강원도 춘천시 신북읍 장본길 74	S100001875	오동초등학교	강원도	춘천시	강원
경기도 연천군 전곡읍 은대로 210	S090003437	은대초등학교	경기도	연천군	경기
제주특별자치도 서귀포시 예래로 210-14	S170000327	예래초등학교	제주특별자치도	서귀포시	제주
전라남도 완도군 소안면 소안로 213	S140001855	소안초등학교	전라남도	완도군	전남
경상남도 하동군 옥종면 주포중앙길 14-13	S160002687	옥종초등학교	경상남도	하동군	경남
강원도 원주시 지정면 신무로 336	S100001373	신평초등학교	강원도	원주시	강원
전라북도 부안군 행안면 월륜길 18	S130000969	행안초등학교	전라북도	부안군	전북
경상북도 김천시 김천로 156	S150001679	김천중앙초등학교	경상북도	김천시	경북
세종특별자치시  금남면 감성길 6	S080000043	감성초등학교	세종특별자치시	세종시	세종
충청남도 천안시 동남구 풍세면 미죽2길 7	S120000764	미죽초등학교	충청남도	천안시	충남
충청남도 서산시 부석면 강경벌로 478	S120000945	가사초등학교	충청남도	서산시	충남
경기도 가평군 청평면 경춘로 75	S090000885	대성초등학교	경기도	가평군	경기
경상북도 영주시 이산면 이산로 487	S150002703	이산초등학교	경상북도	영주시	경북
경상남도 양산시 원동면 화제로 399-29	S160001823	화제초등학교	경상남도	양산시	경남
전라남도 장흥군 대덕읍 대대로 947	S140001974	대덕초등학교	전라남도	장흥군	전남
대구광역시 서구 서대구로45길 60	S030000893	대구서평초등학교	대구광역시	서구	대구
전라남도 신안군 지도읍 서촌길 52-1	S140001301	지도초등학교	전라남도	신안군	전남
충청남도 공주시 우성면 우성길 137-37	S120000323	상서초등학교	충청남도	공주시	충남
대구광역시 북구 경진로12길 5	S030000865	대구경진초등학교	대구광역시	북구	대구
경상남도 함안군 가야읍 함안대로 746	S160002797	중앙초등학교	경상남도	함안군	경남
전라북도 익산시 오산면 남전1길 27	S130001168	오산남초등학교	전라북도	익산시	전북
전라남도 광양시 광양읍 유당로 60-1	S140000564	광양북초등학교	전라남도	광양시	전남
전라북도 익산시 여산면 동헌길 14	S130001166	여산초등학교	전라북도	익산시	전북
경상북도 영천시 고경면 호국로 343	S150002787	단포초등학교	경상북도	영천시	경북
경상북도 포항시 남구 구룡포읍 구룡포길 61	S150003555	구룡포초등학교	경상북도	포항시	경북
경상북도 경주시 천북면 천북로 343	S150001232	천북초등학교	경상북도	경주시	경북
