sido	gu	name	class_2008	class_2009	class_2010	class_2011	class_2012	class_2013	class_2014	class_2015	class_2016	class_2017	class_2018	class_2019	class_2020	class_2021	class_2022	student_2008	student_2009	student_2010	student_2011	student_2012	student_2013	student_2014	student_2015	student_2016	student_2017	student_2018	student_2019	student_2020	student_2021	student_2022
서울	성동구	서울행현초등학교	36	36	36	36	36	36	36	36	36	36	36	36	35	33	31	1457	1362	1282	1206	1127	1101	1048	1057	1014	970	921	805	728	666	629
서울	성동구	한양초등학교	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	767	768	737	702	688	692	693	687	681	634	616	611	604	638	666
서울	성북구	광운초등학교	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	653	666	672	659	650	656	637	628	625	610	593	587	598	610	598
서울	성북구	대광초등학교	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	548	538	522	518	506	501	484	487	488	479	484	473	471	467	483
서울	성북구	매원초등학교	15	15	16	17	18	18	18	18	18	18	18	18	18	18	18	473	487	507	502	540	557	528	509	494	496	476	480	463	480	496
서울	성북구	서울개운초등학교	41	41	40	40	40	40	40	40	40	39	39	39	38	37	35	1473	1419	1336	1309	1209	1149	1130	1070	1012	944	908	890	814	740	705
서울	성북구	서울길원초등학교	33	37	41	44	46	46	46	46	46	46	46	49	50	50	50	951	1021	1032	1339	1287	1219	1245	1221	1221	1207	1237	1281	1271	1242	1230
서울	성북구	서울길음초등학교	36	37	39	39	39	39	40	42	43	44	48	49	52	52	50	1052	1053	1066	1028	987	967	999	1106	1204	1315	1433	1391	1368	1287	1148
서울	성북구	서울돈암초등학교	55	58	58	58	58	58	58	58	55	53	54	50	48	45	42	1943	1926	1889	1797	1666	1535	1485	1409	1335	1280	1214	1133	1053	931	838
서울	성북구	서울동신초등학교	34	32	29	27	25	23	21	21	19	23	21	21	20	21	22	992	877	754	650	517	450	407	389	346	387	423	425	405	411	416
서울	성북구	서울미아초등학교	46	45	46	46	46	48	48	48	48	48	49	49	49	49	49	1418	1349	1310	1375	1359	1327	1334	1328	1268	1251	1270	1249	1168	1152	1226
서울	성북구	서울삼선초등학교	38	38	40	41	42	41	40	39	37	35	36	35	33	32	31	1188	1117	1068	1048	1012	972	951	923	889	840	818	777	699	656	618
서울	성북구	서울석계초등학교	30	32	32	32	32	32	32	32	32	30	30	29	27	25	25	934	974	995	917	901	892	873	803	732	687	638	592	559	527	480
서울	성북구	서울석관초등학교	49	49	44	40	39	37	36	34	33	32	32	31	30	30	30	1476	1308	1180	1024	933	850	784	764	743	715	653	684	646	640	615
서울	성북구	서울성북초등학교	23	23	21	20	20	20	20	19	20	18	16	16	15	15	15	537	510	464	429	396	373	378	360	342	331	303	303	247	236	229
서울	성북구	서울숭곡초등학교	36	33	32	32	32	31	30	28	26	23	22	24	24	24	27	1009	858	828	785	747	714	677	617	561	495	470	466	491	470	621
서울	성북구	서울숭덕초등학교	55	55	54	54	54	55	55	55	54	53	54	54	53	53	52	1601	1508	1483	1501	1417	1385	1328	1329	1321	1312	1298	1298	1233	1192	1166
서울	성북구	서울숭례초등학교	43	40	44	43	43	43	41	38	38	39	38	36	35	34	34	1269	1178	1193	1136	1073	1000	946	908	891	849	804	805	762	745	705
서울	성북구	서울숭인초등학교	32	37	45	45	45	45	47	49	50	50	50	53	53	52	52	873	1071	1128	1250	1308	1332	1382	1463	1444	1430	1452	1396	1281	1206	1145
서울	성북구	서울안암초등학교	26	24	24	26	23	21	21	20	18	17	17	17	15	15	17	687	645	616	565	530	467	431	404	361	327	296	268	224	222	228
