year	sido	gu	name	addr	x	y
20180401	부산	강서구	대저중앙초등학교	부산광역시 강서구 공항로811번길 46	128.9556187	35.180491
20190401	부산	강서구	덕도초등학교	부산광역시 강서구 상덕로 113	128.9157191	35.1925306
20170401	부산	강서구	송정초등학교(폐교)	부산광역시 강서구 가락대로 230-72	128.8416946	35.1064448
20090401	부산	강서구	천가초등학교대항분교	부산 강서구 대항동175번지	128.8279918	35.0110693
20130401	부산	강서구	천가초등학교대항분교장	부산광역시 강서구 성북동   175	128.8322411	35.0596401
20090401	부산	강서구	천가초등학교천성분교	부산 강서구 천성동813번지	128.8131207	35.0314127
20220401	부산	금정구	서곡초등학교	부산광역시 금정구 윤산로 279	129.1049081	35.2204596
20180401	부산	금정구	회동초등학교	부산광역시 금정구 금사로 217	129.1205879	35.2301469
20170401	부산	기장군	대변초등학교	부산광역시 기장군 기장읍 기장해안로 577	129.2267971	35.2252011
20210401	부산	동구	좌성초등학교	부산광역시 동구 증산동로 59	129.0521453	35.1374307
20190401	부산	사하구	감정초등학교	부산광역시 사하구 옥천로 130	129.011063	35.096882
20090401	부산	중구	삼육초등학교	부산 중구 영주1동63-31번지	129.0338335	35.1131383
20200401	부산	해운대구	위봉초등학교	부산광역시 해운대구 재반로 301	129.1294978	35.2027867
20220401	서울	강남구	서울개원초등학교	서울특별시 강남구 선릉로 29	127.0590411	37.4818026
20220401	서울	강동구	서울둔촌초등학교	서울특별시 강동구 양재대로88길 27	127.1373696	37.5262185
20220401	서울	강동구	서울위례초등학교	서울특별시 강동구 명일로 23	127.1393681	37.5223948
20150401	서울	강서구	서울공진초등학교공진분교장	서울특별시 강서구 양천로55길 22	126.8506223	37.5654768
20200401	서울	강서구	서울염강초등학교	서울특별시 강서구 허준로 221-22	126.8640385	37.561253
20150401	서울	금천구	서울흥일초등학교	서울특별시 금천구 독산로50길 60	126.9071063	37.4624064
20130401	서울	송파구	서울장지초등학교	서울특별시 송파구 장지동185-2	127.130262	37.482658
20150401	서울	은평구	알로이시오초등학교	서울특별시 은평구 백련산로14길 20-11	126.928742	37.5975586
20210401	서울	은평구	은혜초등학교	서울특별시 은평구 통일로78가길 20	126.9273984	37.6177586
20150401	서울	종로구	서울숭신초등학교	서울특별시 종로구 종로58길 30	127.0181179	37.5717623
20140401	세종	세종시	연기도원초등학교	세종특별자치시  연서면 도원로 63	127.2872582	36.5859313
20120401	울산	북구	효문초등학교	울산광역시 북구 효문동767번지	129.3683482	35.566692
20160401	울산	울주군	궁근정초등학교	울산광역시 울주군 상북면 석남로 832	129.0678943	35.6150209
20150401	울산	울주군	궁근정초등학교소호분교	울산광역시 울주군 상북면 소호당리길 1궁근정초등학교소호분교장	129.0860696	35.6707456
20100401	울산	울주군	궁근정초등학교소호분교장	울산광역시 울주군 상북면 소호리855	129.0861946	35.6700457
20160401	울산	울주군	길천초등학교	울산광역시 울주군 상북면 명촌길천로 341	129.0848508	35.5850051
20120401	울산	울주군	봉월초등학교	울산 울주군 두동면 봉계리1030-3번지	129.2070757	35.7018134
20180401	울산	울주군	상북초등학교소호분교	울산광역시 울주군 상북면 소호당리길 1	129.0860696	35.6707456
20160401	울산	울주군	향산초등학교	울산광역시 울주군 상북면 상북로 162	129.099705	35.5823966
20190401	인천	강화군	난정초등학교	인천광역시 강화군 교동면 교동서로378번길 28	126.2392752	37.7703018
20190401	인천	강화군	서도초등학교볼음분교장	인천광역시 강화군 서도면 볼음도길 248	126.1897729	37.6712681
